patient_id,dataset,is_lesion,fg_voxels,fg_pct,bbox_size,dist_to_center
Unknown,Unknown,True,11441,0.27277469635009766,0,47.34265644814962
Unknown,Unknown,True,20359,0.4853963851928711,0,31.307760328776787
Unknown,Unknown,True,1673,0.039887428283691406,0,97.0891867693695
Unknown,Unknown,True,7367,0.1756429672241211,0,106.33193910935222
Unknown,Unknown,True,219,0.005221366882324219,0,48.13393431290246
Unknown,Unknown,True,62324,1.4859199523925781,0,24.539120550692417
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,True,4054,0.09665489196777344,0,47.02312456683158
Unknown,Unknown,True,13828,0.3296852111816406,0,35.84637503732746
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,True,330,0.007867813110351562,0,105.86497782615524
Unknown,Unknown,True,7758,0.1849651336669922,0,17.1576811619619
Unknown,Unknown,True,2485,0.05924701690673828,0,108.23145994166221
Unknown,Unknown,True,31102,0.7415294647216797,0,21.71782011344172
Unknown,Unknown,True,97,0.0023126602172851562,0,13.032244662369209
Unknown,Unknown,True,35355,0.8429288864135742,0,35.0168199292475
Unknown,Unknown,True,3544,0.08449554443359375,0,116.7298813972771
Unknown,Unknown,True,8136,0.19397735595703125,0,29.32146064777105
Unknown,Unknown,True,4539,0.10821819305419922,0,121.03741037511085
Unknown,Unknown,True,12262,0.29234886169433594,0,43.757591987884794
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,True,5770,0.13756752014160156,0,35.410565416700656
Unknown,Unknown,True,12252,0.2921104431152344,0,72.48143908176294
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,True,18636,0.4443168640136719,0,98.43562544718823
Unknown,Unknown,True,16906,0.40307044982910156,0,28.221201095878712
Unknown,Unknown,True,555,0.013232231140136719,0,7.692718315779965
Unknown,Unknown,True,11736,0.27980804443359375,0,35.85114646603114
Unknown,Unknown,True,3687,0.0879049301147461,0,80.3360715714782
Unknown,Unknown,True,4360,0.10395050048828125,0,42.514550087464855
Unknown,Unknown,True,472,0.01125335693359375,0,128.89201808946223
Unknown,Unknown,True,4792,0.11425018310546875,0,33.291959850201735
Unknown,Unknown,True,204,0.004863739013671875,0,96.63871931164846
Unknown,Unknown,True,26023,0.6204366683959961,0,42.057381006313406
Unknown,Unknown,True,4785,0.11408329010009766,0,16.302468663868687
Unknown,Unknown,True,1652,0.039386749267578125,0,106.1926184945065
Unknown,Unknown,True,54748,1.3052940368652344,0,56.12642309564104
Unknown,Unknown,True,14065,0.33533573150634766,0,10.530837066562336
Unknown,Unknown,True,13471,0.32117366790771484,0,53.20341717386987
Unknown,Unknown,True,2504,0.05970001220703125,0,21.122288640034302
